id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
23,1,1,1,https://haas.quoccabank.com,haas.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
43,1,1,1,http://haas.quoccabank.com,haas.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
6,1,1,1,https://kibana.quoccabank.com,kibana.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
63,1,1,1,http://kibana.quoccabank.com,kibana.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
17,1,1,1,http://login.quoccabank.com,login.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
18,1,1,1,https://login.quoccabank.com,login.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
4,1,1,1,https://m.quoccabank.com,m.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
33,1,1,1,http://m.quoccabank.com,m.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
28,1,1,1,https://pds.quoccabank.com,pds.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,443,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
65,1,1,1,http://pds.quoccabank.com,pds.quoccabank.com,1,master.prod.quoccabank.com,13.236.65.216,1,0,80,200,OK,CTFProxy Single-Sign On,CTFProxy/1b1974a-dirty,13.236.0.0/14,AS16509,AMAZON-02,澳大利亚新南威尔士悉尼,亚马逊,Brute
